id,year,month,day,hour,minute,second,Flexion_Indice,Flexion_Pulgar,Pulgar_X,Pulgar_Y,Pulgar_Z,Dorso_X,Dorso_Y,Dorso_Z,Class
0,2019,11,20,14,31,4,-59.26,1.0,0.0,0.0,0.0,-165.4,-30.72,-6.1,1.0
1,2019,11,20,14,31,5,-156.45,0.0,0.1,-0.22,0.59,100.5,-40.0,92.94,1.0
2,2019,11,20,14,31,6,-151.67,0.0,0.1,-0.22,0.59,134.89,79.78,-5.75,1.0
3,2019,11,20,14,31,7,-83.17,0.0,0.1,-0.22,0.59,141.63,-11.45,-169.74,1.0
4,2019,11,20,14,31,8,-54.29,-1.0,0.1,-0.22,0.59,-170.8,53.04,81.17,1.0
5,2019,11,20,14,31,9,-55.7,11.0,0.1,-0.22,0.59,-57.56,-57.1,-134.72,1.0
6,2019,11,20,14,31,10,-62.83,45.0,0.1,-0.22,0.59,-85.61,59.48,104.55,1.0
7,2019,11,20,14,31,11,-63.97,37.0,0.1,-0.22,0.59,-5.35,-36.93,-163.55,1.0
8,2019,11,20,14,31,12,-61.58,42.0,0.1,-0.22,0.59,-146.27,16.97,76.81,1.0
9,2019,11,20,14,31,13,-60.93,-2.0,0.1,-0.22,0.59,-38.38,52.45,-176.76,1.0
10,2019,11,20,14,31,14,-60.93,-3.0,0.1,-0.22,0.59,138.89,-8.26,-165.78,1.0
11,2019,11,20,14,31,15,-66.31,-1.0,0.1,-0.22,0.59,-183.66,45.19,67.05,1.0
12,2019,11,20,14,31,16,-72.69,-1.0,0.1,-0.22,0.59,-27.99,-26.49,-157.11,1.0
13,2019,11,20,14,31,17,-68.75,-1.0,0.1,-0.22,0.59,-146.33,16.11,82.65,1.0
14,2019,11,20,14,31,18,-63.6,0.0,0.1,-0.22,0.59,-36.74,48.86,-174.73,1.0
15,2019,11,20,14,31,19,-68.49,0.0,0.1,-0.22,0.61,140.64,-5.6,-158.43,1.0
16,2019,11,20,14,31,20,-74.48,-1.0,0.11,-0.22,0.61,-188.42,47.77,45.9,1.0
17,2019,11,20,14,31,21,-88.29,-1.0,0.11,-0.22,0.61,-38.9,-21.76,-154.74,1.0
18,2019,11,20,14,31,22,-104.24,0.0,0.11,-0.22,0.61,-142.67,20.67,81.95,1.0
19,2019,11,20,14,31,23,-95.84,0.0,0.11,-0.22,0.61,-29.91,44.5,-171.57,1.0
20,2019,11,20,14,31,24,-81.41,-1.0,0.11,-0.22,0.61,144.92,-12.5,-175.46,1.0
21,2019,11,20,14,31,25,-78.58,-1.0,0.11,-0.22,0.61,-143.1,59.53,110.36,1.0
22,2019,11,20,14,31,26,-75.61,-1.0,0.11,-0.22,0.61,-160.98,-36.12,-56.48,1.0
23,2019,11,20,14,31,27,-86.35,-1.0,0.11,-0.22,0.61,48.36,-37.27,141.34,1.0
24,2019,11,20,14,31,28,-106.04,-1.0,0.11,-0.22,0.61,-88.16,11.34,-148.66,1.0
25,2019,11,20,14,31,29,-97.05,-1.0,0.11,-0.22,0.61,-111.25,14.78,131.28,1.0
26,2019,11,20,14,31,30,-74.48,-1.0,0.11,-0.22,0.61,-34.42,-1.6,-164.24,1.0
27,2019,11,20,14,31,31,-69.17,-1.0,0.11,-0.22,0.61,-183.69,-19.18,110.67,1.0
28,2019,11,20,14,31,32,-74.85,-1.0,0.11,-0.22,0.61,-74.16,4.18,-157.5,1.0
29,2019,11,20,14,31,33,-77.95,-1.0,0.11,-0.22,0.61,-152.04,2.79,94.44,1.0
30,2019,11,20,14,31,34,-73.32,-1.0,0.11,-0.22,0.61,-45.9,47.59,-177.66,1.0
31,2019,11,20,14,31,36,-67.72,-1.0,0.11,-0.22,0.61,132.38,-6.32,-162.94,1.0
32,2019,11,20,14,31,37,-65.98,-1.0,0.11,-0.22,0.61,-182.98,53.4,54.01,1.0
33,2019,11,20,14,31,38,-66.61,-1.0,0.11,-0.22,0.61,-34.7,-32.76,-154.06,1.0
34,2019,11,20,14,31,39,-67.62,-1.0,0.11,-0.22,0.61,-138.91,27.46,78.18,1.0
35,2019,11,20,14,31,40,-67.62,-1.0,0.11,-0.22,0.61,-26.82,36.8,-169.44,1.0
